127.0.0.1, 2018-04-23 15:05:57, GET, /, HTTP/1.1, 303, 0.000606
127.0.0.1, 2018-04-23 15:06:02, GET, /welcome/default/index, HTTP/1.1, 500, 5.029147
127.0.0.1, 2018-04-23 15:06:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2018-04-23 15:06:31, GET, /, HTTP/1.1, 303, 0.007523
127.0.0.1, 2018-04-23 15:06:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.383346
127.0.0.1, 2018-04-23 15:06:38, GET, /start/default/index.html, HTTP/1.1, 200, 0.106902
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000640
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000699
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000564
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000655
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001501
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.002074
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002096
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001197
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000594
127.0.0.1, 2018-04-23 15:06:38, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000424
127.0.0.1, 2018-04-23 15:06:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2018-04-23 15:06:42, GET, /start/default/user, HTTP/1.1, 303, 0.020905
127.0.0.1, 2018-04-23 15:06:42, GET, /start/default/user/login, HTTP/1.1, 200, 0.029202
127.0.0.1, 2018-04-23 15:06:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2018-04-23 15:06:47, POST, /start/default/user/login, HTTP/1.1, 303, 0.029757
127.0.0.1, 2018-04-23 15:06:47, GET, /start/default/user/login, HTTP/1.1, 200, 0.027700
127.0.0.1, 2018-04-23 15:06:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2018-04-23 15:06:52, POST, /start/default/user/login, HTTP/1.1, 303, 0.023150
127.0.0.1, 2018-04-23 15:06:52, GET, /start/default/user/login, HTTP/1.1, 200, 0.025666
127.0.0.1, 2018-04-23 15:06:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2018-04-23 15:06:54, GET, /start/default/user/register, HTTP/1.1, 200, 0.034743
127.0.0.1, 2018-04-23 15:06:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2018-04-23 15:07:02, POST, /start/default/user/register, HTTP/1.1, 303, 0.035245
127.0.0.1, 2018-04-23 15:07:02, GET, /start/default/index, HTTP/1.1, 200, 0.034262
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000622
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000464
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000491
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000464
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000422
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000903
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000471
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000466
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2018-04-23 15:07:02, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000604
127.0.0.1, 2018-04-23 15:07:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2018-04-23 15:07:06, GET, /start/default/add, HTTP/1.1, 200, 0.031310
127.0.0.1, 2018-04-23 15:07:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2018-04-23 15:07:12, POST, /start/default/add, HTTP/1.1, 303, 0.023731
127.0.0.1, 2018-04-23 15:07:12, GET, /start/default/index, HTTP/1.1, 200, 0.024113
127.0.0.1, 2018-04-23 15:07:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2018-04-23 15:07:13, GET, /start/default/add, HTTP/1.1, 200, 0.037053
127.0.0.1, 2018-04-23 15:07:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2018-04-23 15:07:17, POST, /start/default/add, HTTP/1.1, 303, 0.025380
127.0.0.1, 2018-04-23 15:07:17, GET, /start/default/index, HTTP/1.1, 200, 0.026821
127.0.0.1, 2018-04-23 15:07:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2018-04-23 15:16:36, GET, /start/default/index, HTTP/1.1, 200, 0.057793
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000502
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000482
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000565
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000406
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000414
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000486
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000514
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000451
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000453
127.0.0.1, 2018-04-23 15:16:36, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000324
127.0.0.1, 2018-04-23 15:16:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2018-04-23 15:16:38, GET, /start/default/index, HTTP/1.1, 200, 0.022504
127.0.0.1, 2018-04-23 15:16:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2018-04-23 15:18:16, GET, /start/default/index, HTTP/1.1, 500, 0.116218
127.0.0.1, 2018-04-23 15:18:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2018-04-23 15:18:25, GET, /start/default/index, HTTP/1.1, 500, 0.031678
127.0.0.1, 2018-04-23 15:18:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2018-04-23 15:19:55, GET, /start/default/index, HTTP/1.1, 200, 0.064266
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000775
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000599
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000501
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000490
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000770
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000486
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000734
127.0.0.1, 2018-04-23 15:19:55, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000519
127.0.0.1, 2018-04-23 15:19:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2018-04-23 16:24:57, GET, /start/default/index, HTTP/1.1, 200, 0.061029
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.004369
